,0
0,-199.44245090140348
1,-200.61668782249382
2,-200.25209592370578
3,-198.6114707773098
4,-201.00163110110302
5,-198.88260470242503
6,-199.2867403623633
7,-198.1803176741855
8,-200.43578505161113
9,-199.51910912118873
10,-199.8770336729166
11,-199.6514750390679
12,-199.87273040575295
13,-199.86410533268665
14,-197.78544856538684
15,-200.1594096368094
16,-199.7466054780136
17,-200.77545456241182
18,-200.77499984296637
19,-200.12260988244876
20,-199.33169660740757
21,-199.50382152274543
22,-199.0619855639178
23,-200.0453975925056
24,-198.7906102176036
25,-200.45345004197978
26,-200.2157350126014
27,-199.39664253017818
28,-200.41601174091952
29,-200.13441454733325
30,-200.09502949921344
31,-201.2602212562533
32,-200.03021500100726
33,-199.0365358836648
34,-200.95402088572823
35,-200.7861680031699
36,-200.7450272246876
37,-199.6483285777284
38,-199.17994413842447
39,-199.81551057748356
40,-199.9939749220662
41,-200.14085950263615
42,-200.65255016598087
43,-199.9687926016731
44,-199.96666536877086
45,-200.12535173205015
46,-199.90449532918046
47,-199.7942020803271
48,-199.49345882946557
49,-200.2084784425073
50,-199.82524557794784
51,-199.7495819005843
52,-200.6546196877957
53,-199.88881410849288
54,-200.2968642171038
55,-200.5570138596057
56,-200.64737184068468
57,-200.91118615620923
58,-200.3774662154955
59,-200.38933394560763
60,-199.72419474192657
61,-200.65430456767177
62,-198.75196477810707
63,-199.2103914025331
64,-200.34228137447855
65,-200.44575339309782
66,-199.49373201472787
67,-200.31839067432412
68,-199.63521201088992
69,-199.63686242996442
70,-199.86250567128175
71,-196.59655672060182
72,-199.46958252418858
73,-199.92150494954922
74,-200.34825164996315
75,-199.8022290899021
76,-200.3882469269605
77,-200.0423738712802
78,-200.6830193201979
79,-200.0025945515326
80,-200.75374485306256
81,-199.1577324590784
82,-200.31446225430938
83,-199.6681738044583
84,-199.07036418502202
85,-199.3510653737986
86,-200.51902422492165
87,-200.08749310615426
88,-200.09765277663936
89,-199.85359955132023
90,-199.72535036907894
91,-200.65032914291274
92,-199.411107102877
93,-199.69114249500177
94,-200.31529512516988
95,-199.64946905978314
96,-199.656837273239
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
