,0
0,8.0
1,18.0
2,27.0
3,11.0
4,18.0
5,13.0
6,33.0
7,18.0
8,10.0
9,27.0
10,17.0
11,65.0
12,37.0
13,13.0
14,82.0
15,38.0
16,28.0
17,25.0
18,14.0
19,17.0
20,10.0
21,10.0
22,11.0
23,12.0
24,29.0
25,140.0
26,76.0
27,32.0
28,131.0
29,130.0
30,74.0
31,91.0
32,39.0
33,34.0
34,24.0
35,38.0
36,33.0
37,25.0
38,21.0
39,32.0
40,58.0
41,65.0
42,81.0
43,200.0
44,57.0
45,74.0
46,50.0
47,24.0
48,17.0
49,51.0
50,52.0
51,66.0
52,85.0
53,34.0
54,67.0
55,72.0
56,16.0
57,108.0
58,91.0
59,98.0
60,134.0
61,18.0
62,47.0
63,70.0
64,19.0
65,12.0
66,16.0
67,60.0
68,21.0
69,68.0
70,85.0
71,26.0
72,16.0
73,19.0
74,11.0
75,13.0
76,15.0
77,15.0
78,13.0
79,14.0
80,14.0
81,30.0
82,20.0
83,28.0
84,23.0
85,17.0
86,108.0
87,87.0
88,65.0
89,25.0
90,38.0
91,66.0
92,90.0
93,85.0
94,79.0
95,66.0
96,26.0
97,65.0
98,81.0
99,28.0
100,21.0
101,28.0
102,37.0
103,27.0
104,13.0
105,18.0
106,89.0
107,41.0
108,85.0
109,80.0
110,99.0
111,42.0
112,87.0
113,91.0
114,127.0
115,200.0
116,99.0
117,99.0
118,87.0
119,11.0
120,12.0
121,11.0
122,99.0
123,119.0
124,200.0
125,200.0
126,200.0
127,200.0
128,200.0
129,200.0
130,145.0
131,200.0
132,200.0
133,200.0
134,200.0
135,200.0
136,200.0
137,135.0
138,194.0
139,200.0
140,142.0
141,12.0
142,110.0
143,85.0
144,25.0
145,20.0
146,200.0
147,200.0
148,187.0
149,200.0
150,200.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
