,0
0,38.30188679245284
1,39.094339622641506
2,38.27358490566036
3,20.575471698113212
4,38.726415094339636
5,38.55660377358489
6,27.745283018867926
7,7.028301886792453
8,10.056603773584905
9,16.0
10,39.80188679245283
11,26.716981132075475
12,38.72641509433962
13,38.55660377358489
14,38.52830188679245
15,28.405660377358494
16,38.10377358490565
17,38.132075471698094
18,38.811320754716974
19,11.830188679245284
20,37.87735849056601
21,38.92452830188679
22,38.75471698113207
23,17.88679245283019
24,14.830188679245284
25,37.93396226415094
26,38.44339622641507
27,38.21698113207548
28,38.811320754716995
29,39.15094339622641
30,37.87735849056602
31,39.17924528301886
32,38.30188679245281
33,38.443396226415096
34,38.69811320754718
35,38.556603773584904
36,38.132075471698116
37,37.82075471698112
38,37.82075471698113
39,37.933962264150935
40,37.76415094339622
41,37.96226415094338
42,37.76415094339622
43,37.933962264150935
44,38.55660377358491
45,19.801886792452837
46,38.018867924528294
47,27.292452830188683
48,38.30188679245281
49,28.235849056603776
50,39.009433962264154
51,38.443396226415096
52,37.90566037735848
53,37.76415094339622
54,38.13207547169811
55,37.90566037735848
56,37.87735849056603
57,37.96226415094338
58,38.10377358490566
59,38.613207547169814
60,38.04716981132074
61,38.528301886792455
62,38.72641509433963
63,38.0754716981132
64,38.27358490566036
65,38.24528301886791
66,15.688679245283021
67,28.320754716981135
68,11.915094339622643
69,24.603773584905664
70,25.830188679245282
71,13.971698113207546
72,16.716981132075475
73,14.858490566037736
74,14.028301886792454
75,27.66037735849057
76,20.028301886792455
77,9.028301886792454
78,9.971698113207546
79,15.971698113207546
80,29.4622641509434
81,39.660377358490564
82,25.292452830188687
83,7.056603773584905
84,35.29245283018867
85,38.981132075471706
86,38.47169811320754
87,38.160377358490564
88,38.04716981132075
89,38.78301886792452
90,38.9811320754717
91,7.056603773584905
92,28.745283018867934
93,26.028301886792455
94,20.54716981132076
95,17.915094339622648
96,6.0
97,7.028301886792453
98,16.0
99,28.801886792452834
100,16.858490566037737
101,39.801886792452834
102,11.028301886792454
103,35.88679245283019
104,27.943396226415096
105,8.028301886792454
106,30.60377358490567
107,21.43396226415095
108,29.66037735849057
109,33.09433962264152
110,23.660377358490575
111,26.405660377358494
112,8.0
113,29.028301886792455
114,26.49056603773586
115,9.028301886792454
116,26.745283018867926
117,24.915094339622645
118,10.915094339622643
119,8.056603773584905
120,19.028301886792455
121,14.028301886792454
122,15.830188679245284
123,10.028301886792454
124,7.056603773584905
125,18.028301886792455
126,9.028301886792454
127,17.943396226415096
