_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-35.705843257761636,402,0.01074514264074634,-2.059177340319474,3.3333333333333335,0.08204450017487488,-0.013897372,-2.459693,2.3700283,0.4205269,8.837596215921644e-18,-3.573336205930273,3.5779099332226045,0.9999798406692435,-0.10373349403701557,-0.24166517591320263,-0.009042085712611158,0.002753816967597565,20,-0.16437481,15.581189,0.018630244,1.5,1.0,0.002385071117124868,0.1375447053192439,-2.7737040739628815
-33.838774439329846,393,0.0112786682507337,-1.5370098017140157,1.7385057471264356,0.07097413130622945,0.006322253,-2.2172222,2.2228322,0.4103779,-4.519991957761451e-17,-3.161449626480008,2.706368728951512,0.999961964563637,-0.09523343246921008,-0.27811034539274065,-0.012889775195410446,0.002904466207821604,40,-0.0955427,15.530304,0.014226251,2.25,1.0,0.0014417139152986176,0.5109068352936618,-0.11343507031118594
-36.3026184661484,382,0.015412201754991531,-1.5218628523237645,2.00293384564291,0.07801992957625208,0.011990819,-2.077759,2.2118096,0.40467715,0.0,-2.761151209127806,2.675437323367299,0.9999561602469009,-0.10355319359311503,-0.23055437418935543,-0.013623286355878476,0.00308993471453626,60,-0.102474034,15.479888,0.015170482,3.375,1.0,0.001181033370228138,0.6200930226949769,0.22298510064837684
-32.69682404843366,385,0.012251757474005259,-2.027720187562154,2.077527845778058,0.07303885790948546,0.009318034,-2.4739416,2.497916,0.4055109,0.0,-2.562267891405546,2.9192538757968958,0.9999480492491571,-0.09705246962406755,-0.24034465059729782,0.006361066747773905,0.0031702294363703956,80,-0.08940075,15.440537,0.014102913,5.0625,1.0,0.0011784876267230686,0.6412189057639048,0.4254921042747576
-36.652129480720355,394,0.010955567675229781,-1.8945185478852145,1.726133613803211,0.07868470002220922,0.0150984125,-2.1210127,2.3665123,0.420715,1.80340795878198e-17,-2.9145757800229877,2.6182057423987812,0.9999361698924641,-0.10420165700123693,-0.24171399419189485,-0.01615021095838729,0.0030995597868743808,100,-0.07548341,15.394666,0.012223875,7.59375,1.0,0.0009834194644780274,0.6925456633803956,0.6157744692825647
