_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-39.55515171984553,410,0.029140504355676743,-1.3235320575708227,1.658374792703151,0.07695716226207862,0.01006659,-2.271622,2.4859138,0.40360752,8.665155314147563e-18,-1.9954598227140943,2.5455459287665425,0.999992475414552,-0.11443381680319609,-0.2825259811696705,-0.01185288675587522,0.004545583193656714,20,-0.11807676,15.614013,0.015939422,1.5,1.0,0.007957850149585654,-0.7277255894582602,-15.289441663631422
-38.01000106394581,405,-0.007449087906793155,-1.7969073106270574,1.9856238042818772,0.07685684907991765,0.01732494,-2.438006,2.353666,0.41255483,-4.386066270124075e-17,-2.459593366115502,2.598582009531004,0.9999792851723492,-0.10399037892411464,-0.2688393579967939,-0.007751353478826395,0.003351174805785385,40,-0.10894502,15.605864,0.015821246,2.25,1.0,0.004099058929437318,-0.15955629223927414,-2.1432172994328407
-43.53439796945564,379,-0.00510769208805237,-2.2195171104158495,1.9812360670216629,0.08579319827477219,0.015722187,-2.3351536,2.3400073,0.42751348,0.0,-2.5714451657457755,2.4151535321229667,0.9999689910912636,-0.11956216969887712,-0.2867231291417696,-0.014521924244909327,0.004874960823431673,60,-0.10116589,15.595443,0.016733285,3.375,1.0,0.0023715780879297876,0.6013484975590662,0.06274150915040888
-44.837828016882234,415,6.735524486133601e-05,-1.7148332720122645,1.450130267115066,0.08091226956059717,0.015537887,-2.5464768,2.4041255,0.4196751,4.280377926265664e-18,-2.61289516724899,2.169000014625692,0.9999634859310841,-0.1296859502458064,-0.30979730631194613,-0.01034842722897893,0.005599999958975312,80,-0.07194831,15.572317,0.014347872,5.0625,1.0,0.0024236590622277554,0.5743055834903628,0.3134607345308291
-38.02504548888737,387,-0.00806999717813504,-1.8490789919384896,1.7108396298948871,0.07517119499910067,0.0066523543,-2.3712227,2.3802252,0.41854805,0.0,-3.273407178298523,3.148288611476201,0.9999551011245205,-0.10826581759820676,-0.25228053069986095,0.0033645706300881235,0.0039218396902097625,100,-0.09192942,15.543484,0.012434513,7.59375,1.0,0.0015938060893877868,0.6040213098254333,0.4142002813705825
-35.059478451253085,396,-0.011167446365325741,-1.7097204949630054,1.5369509913714674,0.06567834759025003,-0.0012084328,-2.3596253,2.217411,0.4136965,-1.570012358055777e-17,-3.5272460608582192,2.835820363282899,0.9999508405606577,-0.10232232169437656,-0.22445085519359895,-0.013730484709939346,0.0029915732421922896,120,-0.08790537,15.521131,0.012400827,11.390625,1.0,0.0009842713014006816,0.686365436737743,0.33812902748797924
-39.02523016398768,387,-0.00687039978830437,-1.7245448807068953,1.560129433340913,0.07209780108862567,0.01295082,-2.2548456,2.675277,0.4269902,-1.836027740982171e-17,-2.7858462270224327,2.233768510579427,0.9999544384128458,-0.10975502863139615,-0.273624859352105,-0.013743655551929534,0.003712375391499039,140,-0.08748258,15.502572,0.0085720215,17.0859375,1.0,0.0013601727771742074,0.6376339204442543,0.35502698171924396
-33.274454085742526,377,-0.006941622984346434,-1.7467501493502238,1.796999547701457,0.0702565245525273,-0.010912284,-2.325866,2.6512322,0.39976048,9.423643710346156e-18,-4.0190288564203795,2.173491647891564,0.9999485047229406,-0.0937577382494752,-0.30066083452022685,-0.012081959826539911,0.00304963577719186,160,-0.04831229,15.485433,0.002555245,17.0859375,1.0,0.0010481077822059564,0.6566459987918962,0.3795202789027977
-36.31332842490025,386,-0.006544617209666278,-1.701537178367249,1.7579609549841946,0.0707977496049721,-0.0036447183,-2.3501909,2.4831629,0.41488364,3.681568579067877e-17,-3.3704674873881295,2.294917026906614,0.9999433465451694,-0.1066537963645036,-0.23738912806595008,-0.013057800601867042,0.002899190001418459,180,-0.080601595,15.485366,0.005677191,17.0859375,1.0,0.0007822248587877977,0.7414053439854305,0.49395198407918584
-34.690208445938744,391,-0.010996271038368364,-1.3982556390308205,1.8240752005340954,0.07107866603479254,-0.016217206,-2.28712,2.4283752,0.4163206,9.086224242456525e-18,-3.2160367909698304,2.3347553979448192,0.9999421381697406,-0.10045951988511244,-0.26627127104216597,-0.014158358005320492,0.002905247272045715,200,-0.050866067,15.483186,0.002977637,17.0859375,1.0,0.0008873625295201188,0.7016604683099187,0.5206593467044507
-36.49491958146629,401,0.0033806248698909146,-1.7783748486772426,1.549919463878254,0.07269169993195045,-0.016997375,-2.4812744,2.128579,0.40560317,-1.3289452663842272e-17,-3.118354352640011,2.989692498874194,0.9999387202923776,-0.10242555469740351,-0.26532031632044806,-0.012809529677467587,0.0034755308738558853,220,-0.05504252,15.462036,0.003402522,17.0859375,1.0,0.0009103712405398998,0.7406154907868566,0.6449047811922815
-34.613153163201005,373,-0.006027867358813925,-1.410946537167161,1.3993792933380367,0.06949845558322856,-0.0045347963,-2.4289522,2.1351273,0.42947054,9.52470155174397e-18,-2.694951219924114,2.0911432037025453,0.9999354971887343,-0.09511938875801655,-0.23931186007519906,-0.01702658784233354,0.0028063179464191245,240,-0.06273024,15.451787,0.003737506,17.0859375,1.0,0.0007789827099788486,0.7234872482646308,0.599881712035963
-31.142419449768873,398,0.008425973562952088,-1.5112631586451923,1.8478926611385993,0.06908055797415996,0.007993104,-2.4971662,2.0573726,0.40050158,8.926416278393219e-18,-3.361836176624384,1.9591554483251634,0.9999496622655762,-0.09076596999913465,-0.2931323563931722,-0.011192064522534762,0.0031555080725669655,260,-0.04903327,15.434432,0.0025314637,17.0859375,1.0,0.0013410073254041437,0.5772340637909916,0.3015708739539158
-34.17892886805614,368,-0.01434499022843047,-1.9138892849159668,1.851160179628261,0.07273276449646454,-0.015149084,-2.8660955,1.947149,0.40244377,-1.9308226515220113e-17,-2.8154694226268577,2.788167419408239,0.9999353935401425,-0.0942362809394247,-0.24326762081275757,-0.0147461000442603,0.002850623326934545,280,-0.87044734,15.398536,0.017437208,25.62890625,1.0,0.0009007224341876206,0.6848829794283086,0.6090598155227263
-33.05724876088457,379,-0.00953445266176641,-1.7704654938184052,1.8172368513888213,0.06841719284014992,-0.008689518,-2.280297,2.2249165,0.4071632,1.874782943958048e-17,-2.4013875397952864,2.898229758281,0.9999442195204862,-0.08912223422728394,-0.23266939820076601,-0.004810345599592031,0.0027359852007498558,300,-0.050328612,15.398803,0.004705673,25.62890625,1.0,0.0007828513840739775,0.7140160410624283,0.4599213618225032
